Дата,UserID,Продукт,Количество,Цена
2024-02-25,338,Товар D,3,842.52
2024-02-04,548,Товар C,5,521.95
2024-07-29,827,Товар A,9,689.9
2024-09-23,565,Товар A,7,988.27
2024-05-21,749,Товар E,7,308.94
2023-12-11,752,Товар E,6,847.09
2024-08-17,78,Товар D,2,320.37
2024-05-06,517,Товар D,2,170.71
2024-09-22,587,Товар E,9,145.85
2024-04-10,307,Товар C,5,855.72
2024-01-03,725,Товар E,6,855.79
2024-05-16,591,Товар D,4,468.41
2024-04-22,352,Товар E,8,227.87
2023-12-22,526,Товар D,6,309.4
2024-09-22,535,Товар C,2,191.31
2024-01-02,703,Товар E,7,222.56
2024-04-04,11,Товар A,8,549.39
2024-03-25,423,Товар C,5,529.0
2023-10-20,551,Товар C,9,862.38
2024-04-02,251,Товар E,2,941.51
2024-07-24,364,Товар E,4,346.53
2024-08-18,241,Товар E,4,416.38
2024-01-30,289,Товар E,6,412.33
2024-07-18,443,Товар D,2,191.59
2024-03-21,692,Товар D,2,859.02
2024-02-05,352,Товар D,4,317.16
2024-05-10,654,Товар D,2,764.26
2024-09-29,87,Товар C,6,113.85
2024-05-07,81,Товар C,6,810.29
2024-09-28,574,Товар D,2,849.83
2023-12-08,986,Товар C,6,584.69
2023-11-10,632,Товар B,7,780.6
2024-04-28,785,Товар A,10,902.54
2023-12-15,241,Товар B,10,914.11
2024-06-02,18,Товар C,2,496.85
2024-03-23,412,Товар D,8,205.16
2024-02-08,775,Товар A,3,252.86
2023-10-17,164,Товар D,1,297.75
2024-01-03,442,Товар C,5,934.65
2024-02-10,511,Товар C,5,892.7
2023-10-15,189,Товар A,3,917.83
2024-01-06,444,Товар A,3,638.19
2024-06-12,402,Товар E,6,132.13
2024-03-12,747,Товар E,1,661.5
2024-06-21,593,Товар E,9,685.27
2023-11-27,844,Товар A,6,479.95
2024-08-29,747,Товар B,5,553.53
2024-08-29,722,Товар D,6,864.68
2024-03-08,892,Товар C,1,307.26
2024-09-06,471,Товар B,2,603.33
2024-02-17,518,Товар A,10,919.72
2024-10-04,83,Товар C,8,689.27
2024-01-21,584,Товар A,3,281.32
2024-03-05,862,Товар E,6,833.11
2024-06-22,128,Товар E,5,343.02
2024-06-09,797,Товар D,4,194.6
2023-11-01,657,Товар A,2,742.93
2024-09-01,503,Товар C,5,752.4
2024-09-06,911,Товар E,3,136.09
2024-09-25,974,Товар E,4,986.02
2024-08-05,59,Товар D,4,472.43
2023-10-12,955,Товар C,10,103.99
2024-04-29,246,Товар E,1,926.01
2024-08-17,965,Товар A,4,777.31
2024-01-05,737,Товар A,4,260.45
2024-03-18,115,Товар D,5,173.68
2024-04-17,534,Товар E,4,258.41
2024-01-03,287,Товар E,6,241.61
2024-06-13,973,Товар A,6,373.24
2024-04-07,806,Товар D,6,234.3
2023-10-11,809,Товар E,7,735.66
2023-11-03,636,Товар E,4,473.47
2024-04-11,391,Товар C,8,389.63
2024-06-04,37,Товар B,9,492.62
2024-04-01,922,Товар C,3,436.29
2024-02-27,247,Товар A,3,222.08
2024-09-10,95,Товар E,2,185.51
2024-05-14,235,Товар A,9,671.19
2023-10-15,267,Товар C,7,819.36
2024-09-06,309,Товар B,3,194.99
2024-07-16,70,Товар B,4,475.83
2024-08-24,936,Товар D,8,155.81
2024-02-23,709,Товар D,7,764.95
2024-07-07,601,Товар C,9,967.94
2024-08-10,115,Товар C,8,644.07
2024-07-02,713,Товар E,6,625.6
2024-03-01,879,Товар E,5,565.06
2023-11-11,344,Товар A,9,291.53
2024-09-28,170,Товар C,1,866.61
2024-05-22,868,Товар A,9,665.91
2024-03-13,294,Товар B,9,874.01
2024-09-04,104,Товар D,3,186.19
2024-09-20,659,Товар E,4,285.22
2023-11-16,856,Товар E,1,699.74
2024-08-21,523,Товар A,8,468.59
2024-02-25,260,Товар E,3,104.65
2024-03-22,11,Товар E,2,885.07
2024-09-03,669,Товар A,4,836.24
2023-11-29,75,Товар D,1,253.45
2024-09-24,299,Товар C,5,968.41
2024-07-05,606,Товар E,1,422.87
2024-04-19,544,Товар A,5,244.07
2024-09-06,338,Товар B,6,674.16
2024-06-19,661,Товар A,3,275.36
2024-10-04,22,Товар B,9,534.3
2024-02-07,319,Товар B,10,898.9
2024-02-02,276,Товар A,3,197.6
2024-07-12,993,Товар C,9,331.14
2024-05-15,581,Товар B,2,709.09
2024-06-25,443,Товар D,10,937.05
2023-12-26,452,Товар D,2,943.41
2023-11-29,821,Товар E,1,539.8
2023-10-08,626,Товар C,10,258.81
2024-06-15,47,Товар A,1,941.16
2024-08-01,177,Товар B,10,819.23
2023-12-25,111,Товар B,8,206.63
2024-06-06,991,Товар D,2,652.52
2024-09-27,272,Товар C,1,537.44
2024-04-19,676,Товар A,9,480.4
2024-08-16,800,Товар B,5,464.11
2024-04-22,770,Товар E,10,772.32
2024-05-16,865,Товар B,10,978.51
2024-07-15,711,Товар A,1,723.08
2024-08-11,128,Товар A,8,280.68
2024-03-11,945,Товар D,6,151.41
2024-04-18,469,Товар C,6,658.12
2023-10-18,46,Товар E,4,927.0
2024-05-28,212,Товар A,4,562.1
2024-04-22,592,Товар E,10,217.11
2024-08-26,416,Товар A,5,895.31
2024-10-01,64,Товар E,5,518.24
2024-02-11,963,Товар D,7,181.31
2024-01-29,858,Товар D,7,758.84
2024-08-15,608,Товар E,2,883.21
2024-07-03,455,Товар B,9,506.58
2024-02-11,8,Товар D,9,600.29
2024-09-06,523,Товар E,5,777.52
2024-09-01,953,Товар E,4,629.18
2024-06-24,55,Товар C,4,244.94
2024-08-30,491,Товар B,5,770.75
2024-02-04,549,Товар D,5,286.14
2024-01-07,995,Товар C,2,482.8
2024-03-12,409,Товар A,4,523.81
2023-11-16,708,Товар A,3,271.65
2023-12-05,675,Товар C,6,383.88
2024-03-31,420,Товар A,9,159.33
2024-01-26,697,Товар A,6,741.96
2024-04-18,21,Товар E,4,927.38
2024-08-29,295,Товар D,3,244.37
2024-09-09,397,Товар C,3,489.55
2024-05-10,259,Товар B,1,681.52
2024-02-02,306,Товар B,2,986.44
2023-11-15,157,Товар D,7,104.09
2024-05-23,847,Товар D,10,763.99
2024-05-21,275,Товар E,9,588.69
2024-04-07,374,Товар A,10,645.62
2024-05-05,558,Товар E,6,769.06
2024-07-04,388,Товар B,9,280.6
2024-08-14,760,Товар D,8,614.33
2024-05-13,133,Товар D,3,236.5
2023-12-07,544,Товар A,2,747.0
2024-06-01,858,Товар C,2,501.2
2024-01-24,337,Товар A,6,246.51
2024-03-04,431,Товар A,9,725.28
2024-02-14,205,Товар C,7,152.53
2024-05-06,706,Товар B,5,343.84
2024-10-04,68,Товар A,1,768.92
2024-01-12,219,Товар A,6,800.52
2024-09-07,925,Товар C,10,484.81
2024-01-12,210,Товар D,8,817.19
2024-03-08,640,Товар B,4,775.79
2024-07-17,38,Товар C,2,397.58
2024-04-20,452,Товар C,10,591.33
2024-08-25,298,Товар C,6,858.88
2024-07-25,857,Товар E,3,742.71
2023-11-15,876,Товар D,2,611.99
2024-07-24,541,Товар C,7,475.82
2023-12-12,276,Товар D,6,713.71
2024-02-05,464,Товар D,2,194.85
2024-09-05,537,Товар B,3,256.67
2024-06-05,563,Товар B,9,632.27
2024-02-27,189,Товар D,4,374.41
2024-06-18,237,Товар B,3,293.1
2023-11-05,11,Товар C,4,998.42
2024-01-16,747,Товар E,5,808.67
2024-08-22,539,Товар E,10,443.44
2024-03-29,378,Товар C,10,738.7
2024-03-01,387,Товар E,6,703.29
2024-04-13,736,Товар D,7,538.88
2023-10-27,584,Товар C,5,291.25
2024-05-14,413,Товар C,7,576.42
2023-11-05,407,Товар B,10,707.71
2024-04-18,692,Товар D,9,748.13
2023-11-03,537,Товар B,7,832.17
2024-07-14,257,Товар E,4,892.08
2024-09-19,797,Товар A,3,312.36
2024-06-22,239,Товар E,1,986.43
2024-08-11,315,Товар E,4,814.69
2024-03-30,471,Товар A,3,184.99
2024-04-21,130,Товар A,4,754.44
2024-03-25,131,Товар D,10,163.65
2024-08-17,976,Товар D,6,214.7
2024-06-19,389,Товар D,1,818.34
2023-12-24,685,Товар E,1,547.09
2024-03-01,539,Товар B,1,934.42
2023-11-25,634,Товар B,10,861.41
2024-08-27,570,Товар D,5,288.42
2024-06-21,95,Товар A,2,285.1
2024-05-08,257,Товар D,4,453.6
2023-12-10,137,Товар E,7,483.78
2024-01-24,23,Товар B,4,938.98
2024-09-12,227,Товар D,7,865.52
2023-10-11,272,Товар D,6,151.44
2024-09-02,421,Товар E,2,201.22
2023-11-30,683,Товар E,4,133.47
2024-04-10,508,Товар E,4,774.31
2023-12-31,569,Товар B,10,841.56
2024-03-21,785,Товар D,4,544.94
2023-11-30,786,Товар A,6,494.93
2024-07-07,638,Товар C,5,327.25
2024-09-09,275,Товар B,5,991.3
2024-01-29,609,Товар A,5,967.75
2023-12-14,77,Товар C,6,773.22
2024-06-16,974,Товар D,9,242.82
2023-12-12,457,Товар E,1,975.15
2024-05-06,490,Товар E,7,702.69
2023-10-31,447,Товар E,4,447.26
2024-02-13,796,Товар E,2,357.86
2024-03-05,511,Товар C,3,919.89
2024-01-03,391,Товар A,10,851.3
2024-04-01,583,Товар C,1,584.96
2024-09-25,224,Товар C,3,548.0
2024-02-17,580,Товар C,8,504.08
2024-01-21,439,Товар C,7,661.84
2023-12-12,731,Товар A,4,681.4
2024-06-24,595,Товар B,10,556.29
2024-06-05,460,Товар D,8,791.81
2024-06-29,290,Товар B,3,667.35
2023-10-15,788,Товар C,10,412.64
2024-01-19,284,Товар C,2,570.82
2024-06-20,559,Товар E,10,965.28
2024-01-31,885,Товар A,5,559.03
2024-05-07,861,Товар A,5,606.47
2024-07-13,919,Товар C,6,309.48
2024-02-25,459,Товар E,3,245.16
2024-02-01,563,Товар E,4,209.3
2024-03-29,708,Товар C,3,538.23
2023-12-11,814,Товар E,10,464.92
2023-10-13,948,Товар C,3,911.29
2024-05-02,247,Товар D,2,858.87
2024-05-14,202,Товар C,3,929.88
2024-07-29,572,Товар B,6,549.38
2024-03-24,6,Товар C,1,289.7
2024-04-21,743,Товар E,9,253.8
2024-05-08,332,Товар D,7,563.75
2023-10-15,517,Товар D,2,966.82
2023-10-13,652,Товар E,10,148.71
2024-03-07,754,Товар E,8,290.79
2024-01-31,792,Товар D,2,882.8
2024-07-25,669,Товар A,2,870.52
2024-02-09,773,Товар D,5,294.14
2024-10-07,812,Товар E,10,721.82
2024-06-29,208,Товар C,1,559.96
2023-11-20,734,Товар E,6,315.26
2024-08-11,297,Товар C,10,458.75
2023-12-29,310,Товар C,3,814.4
2024-03-22,906,Товар A,10,518.93
2023-12-18,938,Товар C,1,241.83
2024-09-04,77,Товар D,6,529.21
2024-03-08,678,Товар C,7,977.4
2024-08-20,982,Товар C,9,383.63
2023-11-27,604,Товар B,8,168.37
2024-09-01,406,Товар B,2,482.93
2024-09-10,79,Товар A,2,671.87
2024-06-30,920,Товар C,7,177.78
2024-01-26,504,Товар D,5,687.68
2023-12-15,794,Товар C,2,990.05
2024-07-09,366,Товар D,5,335.76
2024-06-02,166,Товар D,2,121.66
2024-06-07,713,Товар D,10,597.16
2024-04-20,381,Товар C,3,923.94
2023-11-15,638,Товар D,6,678.41
2024-07-06,106,Товар C,3,622.56
2023-10-27,196,Товар C,8,220.12
2024-03-15,288,Товар C,7,699.31
2024-08-31,806,Товар D,4,887.7
2024-04-20,682,Товар B,9,909.96
2024-04-07,72,Товар A,9,815.28
2024-08-26,25,Товар E,1,578.01
2024-08-14,177,Товар E,5,588.37
2023-11-12,783,Товар E,8,580.31
2024-08-19,80,Товар B,1,158.86
2023-11-08,438,Товар E,2,432.43
2024-10-06,525,Товар A,6,111.86
2024-02-17,855,Товар B,6,921.27
2024-02-13,102,Товар D,4,644.49
2024-06-15,514,Товар D,2,763.37
2024-06-11,692,Товар A,10,301.15
2024-05-10,217,Товар E,10,497.52
2024-06-19,402,Товар E,1,770.89
2024-05-15,225,Товар B,5,693.27
2024-06-21,81,Товар E,5,547.69
2024-08-23,97,Товар C,4,837.43
2023-12-20,999,Товар A,2,355.15
2024-02-27,342,Товар A,9,570.87
2024-04-10,393,Товар C,2,557.5
2024-07-26,948,Товар B,10,837.75
2024-06-05,627,Товар D,5,543.61
2023-12-27,618,Товар B,1,551.68
2023-12-31,999,Товар D,9,648.24
2024-01-23,34,Товар B,2,832.67
2024-09-21,112,Товар B,2,264.6
2024-06-19,805,Товар A,2,824.71
2024-08-25,987,Товар C,3,893.96
2024-09-22,633,Товар A,5,797.52
2024-09-12,647,Товар A,1,106.72
2023-12-23,755,Товар B,5,809.18
2023-12-20,537,Товар B,7,760.08
2024-01-31,711,Товар C,8,753.41
2024-04-07,754,Товар A,9,424.53
2024-06-24,65,Товар D,9,119.38
2024-09-02,457,Товар B,7,412.47
2024-07-11,993,Товар B,4,215.36
2024-09-25,531,Товар D,6,337.14
2024-06-23,234,Товар D,4,196.61
2024-08-30,894,Товар E,6,419.73
2024-02-19,659,Товар E,5,918.84
2024-08-13,839,Товар A,3,931.43
2024-05-02,72,Товар C,6,121.37
2024-07-31,311,Товар E,5,426.7
2024-08-01,476,Товар A,3,517.14
2024-07-19,696,Товар A,4,430.43
2024-02-24,903,Товар C,10,481.78
2024-02-21,159,Товар A,5,775.83
2024-09-25,999,Товар A,5,243.25
2023-10-24,390,Товар D,4,615.03
2024-08-14,633,Товар E,7,171.69
2024-04-05,150,Товар C,2,777.7
2024-05-22,124,Товар C,6,966.04
2024-05-24,517,Товар C,8,944.7
2024-09-05,1000,Товар B,9,465.3
2024-02-02,886,Товар B,1,384.64
2024-06-17,960,Товар D,10,742.12
2023-12-19,71,Товар C,8,262.71
2024-08-21,447,Товар C,5,339.99
2023-10-30,569,Товар A,1,823.02
2024-08-14,701,Товар C,5,891.33
2023-11-02,541,Товар B,4,121.77
2024-05-30,110,Товар C,8,644.52
2023-12-18,62,Товар A,3,318.04
2024-05-30,525,Товар B,7,327.82
2024-05-08,457,Товар B,10,415.75
2024-05-29,59,Товар C,1,200.85
2024-05-20,43,Товар D,3,699.1
2024-07-13,50,Товар E,10,561.89
2024-04-30,888,Товар E,2,159.11
2024-07-02,315,Товар C,5,782.69
2024-07-15,117,Товар E,1,476.88
2024-06-15,899,Товар B,7,697.84
2023-11-24,926,Товар E,7,127.06
2024-08-04,805,Товар D,2,816.13
2024-08-26,286,Товар C,9,654.71
2023-12-20,929,Товар B,1,844.59
2024-01-22,996,Товар E,3,322.5
2024-06-25,441,Товар B,5,669.41
2024-04-30,187,Товар D,8,563.38
2024-08-06,366,Товар A,5,206.79
2024-05-14,927,Товар E,3,527.0
2024-07-02,320,Товар E,10,854.5
2024-08-02,806,Товар C,10,314.57
2024-05-04,76,Товар D,9,151.88
2024-07-19,825,Товар A,5,538.41
2023-11-01,278,Товар A,8,505.24
2024-05-29,990,Товар E,6,761.2
2024-01-01,471,Товар D,4,530.79
2024-01-27,319,Товар B,10,867.35
2024-08-16,191,Товар A,10,507.64
2024-06-23,417,Товар B,10,339.91
2024-07-07,290,Товар A,7,699.87
2024-07-27,39,Товар E,10,446.51
2024-06-26,891,Товар D,5,165.43
2024-06-30,11,Товар B,8,111.95
2024-03-13,439,Товар A,10,946.77
2024-09-14,747,Товар C,10,827.57
2024-06-07,310,Товар C,8,321.32
2024-01-27,979,Товар A,10,353.62
2023-10-21,234,Товар E,3,181.57
2024-06-28,655,Товар B,8,370.86
2024-05-20,474,Товар C,1,852.63
2024-05-09,666,Товар E,8,268.99
2024-04-28,581,Товар B,6,377.6
2024-05-11,459,Товар A,4,401.53
2024-03-30,83,Товар A,4,746.53
2024-01-14,587,Товар D,3,204.91
2024-08-04,966,Товар C,4,545.21
2024-08-12,759,Товар B,4,481.85
2024-02-19,143,Товар E,1,471.77
2024-05-18,904,Товар C,7,744.01
2024-06-26,695,Товар B,3,319.25
2024-05-10,422,Товар D,1,123.71
2024-04-11,928,Товар B,6,791.76
2024-05-29,873,Товар D,6,306.02
2023-10-15,700,Товар D,5,921.58
2024-06-22,949,Товар E,7,322.45
2024-09-03,676,Товар E,6,903.31
2024-09-18,988,Товар C,1,730.01
2023-12-06,294,Товар E,7,676.29
2024-08-27,350,Товар B,6,217.3
2023-11-28,545,Товар C,1,422.49
2023-10-10,773,Товар D,3,745.59
2024-02-09,610,Товар C,2,584.77
2023-10-23,536,Товар E,4,969.14
2023-10-29,952,Товар B,9,338.47
2024-05-23,938,Товар B,2,440.16
2024-01-08,699,Товар B,5,202.58
2024-03-04,334,Товар B,4,293.77
2024-06-29,988,Товар E,8,978.06
2024-04-11,387,Товар D,4,342.0
2024-02-28,355,Товар E,5,728.47
2024-04-21,319,Товар D,3,827.6
2023-10-25,294,Товар E,2,746.92
2023-12-04,62,Товар E,7,304.48
2023-11-04,761,Товар B,8,251.7
2023-11-10,687,Товар B,1,501.98
2024-07-16,95,Товар C,6,499.72
2023-12-21,158,Товар D,6,887.53
2024-05-02,704,Товар C,10,202.29
2023-11-26,256,Товар A,5,420.52
2024-06-19,474,Товар C,6,880.07
2024-07-04,723,Товар D,8,872.01
2023-11-16,362,Товар A,2,896.41
2023-11-11,481,Товар C,9,196.49
2024-01-08,232,Товар B,3,961.65
2023-11-19,479,Товар A,2,635.75
2024-08-06,933,Товар A,8,614.5
2023-10-10,513,Товар D,10,690.62
